Non-overlapping 14-day period,Region,Number_received_three_vaccines,Population
01/10/2022 -> 31/10/2022,London,21895,30875
01/10/2022 -> 31/10/2022,North East,3675,5130
01/10/2022 -> 31/10/2022,North West,9230,13950
01/10/2022 -> 31/10/2022,South East,20510,29285
01/10/2022 -> 31/10/2022,South West,15850,23280
01/10/2022 -> 31/10/2022,East Midlands,149445,199740
01/10/2022 -> 31/10/2022,East of England,205880,270725
01/10/2022 -> 31/10/2022,London,201320,326940
01/10/2022 -> 31/10/2022,North East,72730,98845
01/10/2022 -> 31/10/2022,North West,185055,265350
01/10/2022 -> 31/10/2022,South East,312485,403830
01/10/2022 -> 31/10/2022,South West,216165,277010
01/10/2022 -> 31/10/2022,East Midlands,23420,32595
01/10/2022 -> 31/10/2022,East of England,10690,14640
01/10/2022 -> 31/10/2022,London,58625,85860
01/10/2022 -> 31/10/2022,North East,2965,4195
01/10/2022 -> 31/10/2022,North West,3905,6240
01/10/2022 -> 31/10/2022,South East,31975,43495
01/10/2022 -> 31/10/2022,South West,3220,4450
01/10/2022 -> 31/10/2022,East Midlands,788735,942995
01/10/2022 -> 31/10/2022,East of England,1089490,1308435
01/10/2022 -> 31/10/2022,London,8510,11290
01/10/2022 -> 31/10/2022,North East,290490,359825
01/10/2022 -> 31/10/2022,North West,476855,575280
01/10/2022 -> 31/10/2022,South East,1140785,1357785
01/10/2022 -> 31/10/2022,South West,1072650,1276995
01/10/2022 -> 31/10/2022,East Midlands,1730225,2319000
01/10/2022 -> 31/10/2022,East of England,2160190,2865290
01/10/2022 -> 31/10/2022,London,3088480,4808625
01/10/2022 -> 31/10/2022,North East,1122900,1484940
01/10/2022 -> 31/10/2022,North West,3042435,4280435
01/10/2022 -> 31/10/2022,South East,3734750,4765810
01/10/2022 -> 31/10/2022,South West,2066565,2605700
01/10/2022 -> 31/10/2022,East Midlands,1343545,1690175
01/10/2022 -> 31/10/2022,East of England,1731450,2169485
01/10/2022 -> 31/10/2022,London,1649350,2525070
01/10/2022 -> 31/10/2022,North East,762625,963990
01/10/2022 -> 31/10/2022,North West,1881040,2526070
01/10/2022 -> 31/10/2022,South East,2604875,3192360
01/10/2022 -> 31/10/2022,South West,1684185,2030480
01/10/2022 -> 31/10/2022,East Midlands,1175405,1571815
01/10/2022 -> 31/10/2022,East of England,1518225,2004245
01/10/2022 -> 31/10/2022,London,1447635,2294840
01/10/2022 -> 31/10/2022,North East,650760,880780
01/10/2022 -> 31/10/2022,North West,1638240,2329635
01/10/2022 -> 31/10/2022,South East,2270655,2931220
01/10/2022 -> 31/10/2022,South West,1455030,1852195
01/10/2022 -> 31/10/2022,East Midlands,15170,22195
01/10/2022 -> 31/10/2022,East of England,21705,31355
01/10/2022 -> 31/10/2022,London,52280,77585
01/10/2022 -> 31/10/2022,North East,6780,10770
01/10/2022 -> 31/10/2022,North West,21865,34940
01/10/2022 -> 31/10/2022,South East,37410,52430
01/10/2022 -> 31/10/2022,South West,24985,34045
01/10/2022 -> 31/10/2022,East Midlands,34355,45890
01/10/2022 -> 31/10/2022,East of England,48645,64215
01/10/2022 -> 31/10/2022,London,60435,99270
01/10/2022 -> 31/10/2022,North East,14865,19425
01/10/2022 -> 31/10/2022,North West,40765,59345
01/10/2022 -> 31/10/2022,South East,88445,114535
01/10/2022 -> 31/10/2022,South West,51680,65575
01/10/2022 -> 31/10/2022,East Midlands,1943520,2338125
01/10/2022 -> 31/10/2022,East of England,2457290,2941890
01/10/2022 -> 31/10/2022,London,1952340,2583265
01/10/2022 -> 31/10/2022,North East,1046525,1266550
01/10/2022 -> 31/10/2022,North West,2706510,3435420
01/10/2022 -> 31/10/2022,South East,3671640,4321145
01/10/2022 -> 31/10/2022,South West,2363420,2747500
01/10/2022 -> 31/10/2022,East Midlands,277150,439485
01/10/2022 -> 31/10/2022,East of England,370895,571340
01/10/2022 -> 31/10/2022,London,522810,977360
01/10/2022 -> 31/10/2022,North East,133035,215380
01/10/2022 -> 31/10/2022,North West,369250,635515
01/10/2022 -> 31/10/2022,South East,609955,901315
01/10/2022 -> 31/10/2022,South West,410290,590360
01/10/2022 -> 31/10/2022,East Midlands,248770,416305
01/10/2022 -> 31/10/2022,East of England,351140,564950
01/10/2022 -> 31/10/2022,London,509110,1082435
01/10/2022 -> 31/10/2022,North East,212170,332675
01/10/2022 -> 31/10/2022,North West,380915,690480
01/10/2022 -> 31/10/2022,South East,468085,734165
01/10/2022 -> 31/10/2022,South West,288840,445210
01/10/2022 -> 31/10/2022,East Midlands,286940,562210
01/10/2022 -> 31/10/2022,East Midlands,270650,456940
01/10/2022 -> 31/10/2022,East Midlands,353915,477505
01/10/2022 -> 31/10/2022,East Midlands,512065,598280
01/10/2022 -> 31/10/2022,East Midlands,466810,511095
01/10/2022 -> 31/10/2022,East Midlands,403140,422035
01/10/2022 -> 31/10/2022,East Midlands,225430,233930
01/10/2022 -> 31/10/2022,East of England,353450,678765
01/10/2022 -> 31/10/2022,East of England,354295,586440
01/10/2022 -> 31/10/2022,East of England,482990,650110
01/10/2022 -> 31/10/2022,East of England,652110,759605
01/10/2022 -> 31/10/2022,East of England,583805,639570
01/10/2022 -> 31/10/2022,East of England,513990,538340
01/10/2022 -> 31/10/2022,East of England,309040,320900
01/10/2022 -> 31/10/2022,London,396980,924960
01/10/2022 -> 31/10/2022,London,442205,857835
01/10/2022 -> 31/10/2022,London,542075,900515
01/10/2022 -> 31/10/2022,London,617800,848280
01/10/2022 -> 31/10/2022,London,509075,625285
01/10/2022 -> 31/10/2022,London,364485,410660
01/10/2022 -> 31/10/2022,London,224370,252375
01/10/2022 -> 31/10/2022,North East,153605,312570
01/10/2022 -> 31/10/2022,North East,153200,265765
01/10/2022 -> 31/10/2022,North East,189525,259930
01/10/2022 -> 31/10/2022,North East,280505,329820
01/10/2022 -> 31/10/2022,North East,281940,307530
01/10/2022 -> 31/10/2022,North East,227490,237530
01/10/2022 -> 31/10/2022,North East,127140,131625
01/10/2022 -> 31/10/2022,North West,378130,848700
01/10/2022 -> 31/10/2022,North West,384230,728930
01/10/2022 -> 31/10/2022,North West,491045,718070
01/10/2022 -> 31/10/2022,North West,716145,876780
01/10/2022 -> 31/10/2022,North West,673050,756255
01/10/2022 -> 31/10/2022,North West,558955,593335
01/10/2022 -> 31/10/2022,North West,317730,333640
01/10/2022 -> 31/10/2022,South East,558720,1009255
01/10/2022 -> 31/10/2022,South East,534355,837345
01/10/2022 -> 31/10/2022,South East,743720,962355
01/10/2022 -> 31/10/2022,South East,981730,1128030
01/10/2022 -> 31/10/2022,South East,861835,939590
01/10/2022 -> 31/10/2022,South East,739415,774480
01/10/2022 -> 31/10/2022,South East,455765,472535
01/10/2022 -> 31/10/2022,South West,360480,638340
01/10/2022 -> 31/10/2022,South West,332295,510275
01/10/2022 -> 31/10/2022,South West,421150,539455
01/10/2022 -> 31/10/2022,South West,603395,689675
01/10/2022 -> 31/10/2022,South West,579305,628445
01/10/2022 -> 31/10/2022,South West,524800,548250
01/10/2022 -> 31/10/2022,South West,317780,328255
01/11/2022 -> 30/11/2022,East Midlands,2516765,3262205
01/11/2022 -> 30/11/2022,East of England,3247050,4174155
01/11/2022 -> 30/11/2022,London,3095350,4822410
01/11/2022 -> 30/11/2022,North East,1412015,1844565
01/11/2022 -> 30/11/2022,North West,3516000,4855700
01/11/2022 -> 30/11/2022,South East,4872400,6124730
01/11/2022 -> 30/11/2022,South West,3136635,3882455
01/11/2022 -> 30/11/2022,East Midlands,197610,313415
01/11/2022 -> 30/11/2022,East of England,295735,453215
01/11/2022 -> 30/11/2022,London,1049325,1776545
01/11/2022 -> 30/11/2022,North East,53010,81790
01/11/2022 -> 30/11/2022,North West,224510,379975
01/11/2022 -> 30/11/2022,South East,516680,735220
01/11/2022 -> 30/11/2022,South West,194210,277515
01/11/2022 -> 30/11/2022,East Midlands,2319165,2948790
01/11/2022 -> 30/11/2022,East of England,2951305,3720940
01/11/2022 -> 30/11/2022,London,2046050,3045870
01/11/2022 -> 30/11/2022,North East,1359025,1762775
01/11/2022 -> 30/11/2022,North West,3291490,4475715
01/11/2022 -> 30/11/2022,South East,4355735,5389510
01/11/2022 -> 30/11/2022,South West,2942425,3604940
01/11/2022 -> 30/11/2022,East Midlands,239250,279300
01/11/2022 -> 30/11/2022,East of England,278310,324850
01/11/2022 -> 30/11/2022,London,243300,335850
01/11/2022 -> 30/11/2022,North East,148410,173140
01/11/2022 -> 30/11/2022,North West,340690,419350
01/11/2022 -> 30/11/2022,South East,386015,447565
01/11/2022 -> 30/11/2022,South West,283040,324480
01/11/2022 -> 30/11/2022,East Midlands,140630,169460
01/11/2022 -> 30/11/2022,East of England,145695,176630
01/11/2022 -> 30/11/2022,London,161955,234625
01/11/2022 -> 30/11/2022,North East,109190,130585
01/11/2022 -> 30/11/2022,North West,248900,315880
01/11/2022 -> 30/11/2022,South East,192415,233015
01/11/2022 -> 30/11/2022,South West,149120,177845
01/11/2022 -> 30/11/2022,East Midlands,2136885,2813445
01/11/2022 -> 30/11/2022,East of England,2823025,3672675
01/11/2022 -> 30/11/2022,London,2690110,4251940
01/11/2022 -> 30/11/2022,North East,1154400,1540825
01/11/2022 -> 30/11/2022,North West,2926410,4120475
01/11/2022 -> 30/11/2022,South East,4293975,5444150
01/11/2022 -> 30/11/2022,South West,2704470,3380120
01/11/2022 -> 30/11/2022,East Midlands,95020,109535
01/11/2022 -> 30/11/2022,East of England,111305,128635
01/11/2022 -> 30/11/2022,London,45890,62210
01/11/2022 -> 30/11/2022,North East,61040,71700
01/11/2022 -> 30/11/2022,North West,128000,154970
01/11/2022 -> 30/11/2022,South East,158410,181465
01/11/2022 -> 30/11/2022,South West,119715,136020
01/11/2022 -> 30/11/2022,East Midlands,319090,405385
01/11/2022 -> 30/11/2022,East of England,430655,543715
01/11/2022 -> 30/11/2022,London,277705,430970
01/11/2022 -> 30/11/2022,North East,176990,229710
01/11/2022 -> 30/11/2022,North West,427015,583935
01/11/2022 -> 30/11/2022,South East,586240,726590
01/11/2022 -> 30/11/2022,South West,384490,470290
01/11/2022 -> 30/11/2022,East Midlands,345985,433425
01/11/2022 -> 30/11/2022,East of England,458880,571460
01/11/2022 -> 30/11/2022,London,293445,453680
01/11/2022 -> 30/11/2022,North East,199740,254195
01/11/2022 -> 30/11/2022,North West,482255,649105
01/11/2022 -> 30/11/2022,South East,655620,799265
01/11/2022 -> 30/11/2022,South West,442865,533650
01/11/2022 -> 30/11/2022,East Midlands,298300,368095
01/11/2022 -> 30/11/2022,East of England,373300,461010
01/11/2022 -> 30/11/2022,London,326970,487345
01/11/2022 -> 30/11/2022,North East,170005,213120
01/11/2022 -> 30/11/2022,North West,426590,563660
01/11/2022 -> 30/11/2022,South East,575220,696490
01/11/2022 -> 30/11/2022,South West,383205,459620
01/11/2022 -> 30/11/2022,East Midlands,631805,714310
01/11/2022 -> 30/11/2022,East of England,878735,1002825
01/11/2022 -> 30/11/2022,London,1120140,1496555
01/11/2022 -> 30/11/2022,North East,335345,378225
01/11/2022 -> 30/11/2022,North West,940620,1095885
01/11/2022 -> 30/11/2022,South East,1525435,1721670
01/11/2022 -> 30/11/2022,South West,905590,1005685
01/11/2022 -> 30/11/2022,East Midlands,440280,531915
01/11/2022 -> 30/11/2022,East of England,514505,612735
01/11/2022 -> 30/11/2022,London,414180,596890
01/11/2022 -> 30/11/2022,North East,268385,326075
01/11/2022 -> 30/11/2022,North West,611535,787845
01/11/2022 -> 30/11/2022,South East,630095,745220
01/11/2022 -> 30/11/2022,South West,437915,507515
01/11/2022 -> 30/11/2022,East Midlands,100360,137310
01/11/2022 -> 30/11/2022,East of England,127510,174895
01/11/2022 -> 30/11/2022,London,222945,371690
01/11/2022 -> 30/11/2022,North East,47520,59240
01/11/2022 -> 30/11/2022,North West,123380,172370
01/11/2022 -> 30/11/2022,South East,184030,244180
01/11/2022 -> 30/11/2022,South West,103410,131410
01/11/2022 -> 30/11/2022,East Midlands,4695,9240
01/11/2022 -> 30/11/2022,East of England,12105,23755
01/11/2022 -> 30/11/2022,London,70045,149955
01/11/2022 -> 30/11/2022,North East,3670,7385
01/11/2022 -> 30/11/2022,North West,12190,28530
01/11/2022 -> 30/11/2022,South East,11775,19185
01/11/2022 -> 30/11/2022,South West,3555,5520
01/11/2022 -> 30/11/2022,East Midlands,11970,29095
01/11/2022 -> 30/11/2022,East of England,23165,47365
01/11/2022 -> 30/11/2022,London,123040,324010
01/11/2022 -> 30/11/2022,North East,2700,5830
01/11/2022 -> 30/11/2022,North West,15140,36730
01/11/2022 -> 30/11/2022,South East,29645,59415
01/11/2022 -> 30/11/2022,South West,7005,14465
01/11/2022 -> 30/11/2022,East Midlands,10250,21080
01/11/2022 -> 30/11/2022,East of England,12930,26135
01/11/2022 -> 30/11/2022,London,78440,217690
01/11/2022 -> 30/11/2022,North East,515,825
01/11/2022 -> 30/11/2022,North West,7045,14920
01/11/2022 -> 30/11/2022,South East,14185,26155
01/11/2022 -> 30/11/2022,South West,5705,10535
01/11/2022 -> 30/11/2022,East Midlands,7835,11155
01/11/2022 -> 30/11/2022,East of England,15035,19555
01/11/2022 -> 30/11/2022,London,51470,70060
01/11/2022 -> 30/11/2022,North East,4490,6435
01/11/2022 -> 30/11/2022,North West,18425,24075
01/11/2022 -> 30/11/2022,South East,23725,30300
01/11/2022 -> 30/11/2022,South West,8710,11095
01/11/2022 -> 30/11/2022,East Midlands,93445,127650
01/11/2022 -> 30/11/2022,East of England,55430,69145
01/11/2022 -> 30/11/2022,London,275990,366025
01/11/2022 -> 30/11/2022,North East,7635,10175
01/11/2022 -> 30/11/2022,North West,45715,74990
01/11/2022 -> 30/11/2022,South East,94310,118415
01/11/2022 -> 30/11/2022,South West,18340,23580
01/11/2022 -> 30/11/2022,East Midlands,22925,47195
01/11/2022 -> 30/11/2022,East of England,36280,66350
01/11/2022 -> 30/11/2022,London,94795,199670
01/11/2022 -> 30/11/2022,North East,8035,13435
01/11/2022 -> 30/11/2022,North West,31300,64955
01/11/2022 -> 30/11/2022,South East,58610,97945
01/11/2022 -> 30/11/2022,South West,26315,44325
01/11/2022 -> 30/11/2022,East Midlands,24990,43655
01/11/2022 -> 30/11/2022,East of England,43320,66015
01/11/2022 -> 30/11/2022,London,245125,448265
01/11/2022 -> 30/11/2022,North East,8435,13540
01/11/2022 -> 30/11/2022,North West,30250,56720
01/11/2022 -> 30/11/2022,South East,84170,119955
01/11/2022 -> 30/11/2022,South West,22660,33050
01/11/2022 -> 30/11/2022,East Midlands,14395,34195
01/11/2022 -> 30/11/2022,East of England,20065,47815
01/11/2022 -> 30/11/2022,London,69605,145865
01/11/2022 -> 30/11/2022,North East,6590,13675
01/11/2022 -> 30/11/2022,North West,49860,131590
01/11/2022 -> 30/11/2022,South East,33110,68950
01/11/2022 -> 30/11/2022,South West,4400,7985
01/11/2022 -> 30/11/2022,East Midlands,2267855,2825175
01/11/2022 -> 30/11/2022,East of England,2901205,3591035
01/11/2022 -> 30/11/2022,London,1732715,2257175
01/11/2022 -> 30/11/2022,North East,1353800,1745535
01/11/2022 -> 30/11/2022,North West,3227545,4289230
01/11/2022 -> 30/11/2022,South East,4323685,5271210
01/11/2022 -> 30/11/2022,South West,2961065,3603930
01/11/2022 -> 30/11/2022,East Midlands,58395,113765
01/11/2022 -> 30/11/2022,East of England,127490,216955
01/11/2022 -> 30/11/2022,London,354125,643695
01/11/2022 -> 30/11/2022,North East,16160,27740
01/11/2022 -> 30/11/2022,North West,78525,133910
01/11/2022 -> 30/11/2022,South East,199180,313180
01/11/2022 -> 30/11/2022,South West,78860,127950
01/11/2022 -> 30/11/2022,East Midlands,359925,566620
01/11/2022 -> 30/11/2022,East of England,509445,759660
01/11/2022 -> 30/11/2022,London,475125,930755
01/11/2022 -> 30/11/2022,North East,208275,323020
01/11/2022 -> 30/11/2022,North West,492460,870270
01/11/2022 -> 30/11/2022,South East,775245,1121780
01/11/2022 -> 30/11/2022,South West,506945,710970
01/11/2022 -> 30/11/2022,East Midlands,451525,619220
01/11/2022 -> 30/11/2022,East of England,617785,820185
01/11/2022 -> 30/11/2022,London,552715,972675
01/11/2022 -> 30/11/2022,North East,251155,351950
01/11/2022 -> 30/11/2022,North West,595060,921570
01/11/2022 -> 30/11/2022,South East,924675,1201970
01/11/2022 -> 30/11/2022,South West,622955,786165
01/11/2022 -> 30/11/2022,East Midlands,539525,685145
01/11/2022 -> 30/11/2022,East of England,684785,860045
01/11/2022 -> 30/11/2022,London,615550,966035
01/11/2022 -> 30/11/2022,North East,287595,376115
01/11/2022 -> 30/11/2022,North West,719545,980045
01/11/2022 -> 30/11/2022,South East,1035600,1279710
01/11/2022 -> 30/11/2022,South West,662645,805820
01/11/2022 -> 30/11/2022,East Midlands,567705,687225
01/11/2022 -> 30/11/2022,East of England,708490,870495
01/11/2022 -> 30/11/2022,London,676590,962610
01/11/2022 -> 30/11/2022,North East,319655,390295
01/11/2022 -> 30/11/2022,North West,822065,1029050
01/11/2022 -> 30/11/2022,South East,1059455,1269945
01/11/2022 -> 30/11/2022,South West,669775,799660
01/11/2022 -> 30/11/2022,East Midlands,598075,704010
01/11/2022 -> 30/11/2022,East of England,726545,863760
01/11/2022 -> 30/11/2022,London,775380,990335
01/11/2022 -> 30/11/2022,North East,345330,403180
01/11/2022 -> 30/11/2022,North West,886880,1054765
01/11/2022 -> 30/11/2022,South East,1077410,1251305
01/11/2022 -> 30/11/2022,South West,674315,779845
01/11/2022 -> 30/11/2022,East Midlands,2417175,3079005
01/11/2022 -> 30/11/2022,East of England,3127355,3953640
01/11/2022 -> 30/11/2022,London,2546830,3807425
01/11/2022 -> 30/11/2022,North East,1389015,1802685
01/11/2022 -> 30/11/2022,North West,3405805,4632680
01/11/2022 -> 30/11/2022,South East,4675055,5798700
01/11/2022 -> 30/11/2022,South West,3072975,3769960
01/11/2022 -> 30/11/2022,East Midlands,99585,183215
01/11/2022 -> 30/11/2022,East of England,119690,220515
01/11/2022 -> 30/11/2022,London,548545,1014995
01/11/2022 -> 30/11/2022,North East,23010,41880
01/11/2022 -> 30/11/2022,North West,110190,223015
01/11/2022 -> 30/11/2022,South East,197350,326025
01/11/2022 -> 30/11/2022,South West,63665,112490
01/11/2022 -> 30/11/2022,East Midlands,364950,425290
01/11/2022 -> 30/11/2022,East of England,543395,634810
01/11/2022 -> 30/11/2022,London,586030,762175
01/11/2022 -> 30/11/2022,North East,169135,196830
01/11/2022 -> 30/11/2022,North West,508905,609970
01/11/2022 -> 30/11/2022,South East,935035,1080995
01/11/2022 -> 30/11/2022,South West,506965,579950
01/11/2022 -> 30/11/2022,East Midlands,601845,728535
01/11/2022 -> 30/11/2022,East of England,834875,1013860
01/11/2022 -> 30/11/2022,London,830910,1169525
01/11/2022 -> 30/11/2022,North East,324265,392715
01/11/2022 -> 30/11/2022,North West,849485,1077565
01/11/2022 -> 30/11/2022,South East,1352155,1617775
01/11/2022 -> 30/11/2022,South West,806305,955035
01/11/2022 -> 30/11/2022,East Midlands,255700,321110
01/11/2022 -> 30/11/2022,East of England,351355,439100
01/11/2022 -> 30/11/2022,London,334405,509700
01/11/2022 -> 30/11/2022,North East,163110,204760
01/11/2022 -> 30/11/2022,North West,400230,534305
01/11/2022 -> 30/11/2022,South East,524210,644065
01/11/2022 -> 30/11/2022,South West,320110,385390
01/11/2022 -> 30/11/2022,East Midlands,310460,410020
01/11/2022 -> 30/11/2022,East of England,452440,605305
01/11/2022 -> 30/11/2022,London,381060,631085
01/11/2022 -> 30/11/2022,North East,135840,182505
01/11/2022 -> 30/11/2022,North West,415110,596630
01/11/2022 -> 30/11/2022,South East,654075,857230
01/11/2022 -> 30/11/2022,South West,463795,583655
01/11/2022 -> 30/11/2022,East Midlands,249470,323465
01/11/2022 -> 30/11/2022,East of England,277600,362125
01/11/2022 -> 30/11/2022,London,190590,307275
01/11/2022 -> 30/11/2022,North East,149175,192255
01/11/2022 -> 30/11/2022,North West,327855,449205
01/11/2022 -> 30/11/2022,South East,376955,485725
01/11/2022 -> 30/11/2022,South West,270660,341300
01/11/2022 -> 30/11/2022,East Midlands,316760,438690
01/11/2022 -> 30/11/2022,East of England,357805,489225
01/11/2022 -> 30/11/2022,London,296225,515700
01/11/2022 -> 30/11/2022,North East,201375,279060
01/11/2022 -> 30/11/2022,North West,451495,671705
01/11/2022 -> 30/11/2022,South East,476835,640760
01/11/2022 -> 30/11/2022,South West,357045,468955
01/11/2022 -> 30/11/2022,East Midlands,330400,457730
01/11/2022 -> 30/11/2022,East of England,321795,445460
01/11/2022 -> 30/11/2022,London,233560,410405
01/11/2022 -> 30/11/2022,North East,208915,282855
01/11/2022 -> 30/11/2022,North West,418960,622790
01/11/2022 -> 30/11/2022,South East,393730,539140
01/11/2022 -> 30/11/2022,South West,309465,408905
01/11/2022 -> 30/11/2022,East Midlands,47540,93870
01/11/2022 -> 30/11/2022,East of England,53325,101715
01/11/2022 -> 30/11/2022,London,114135,294710
01/11/2022 -> 30/11/2022,North East,40860,80955
01/11/2022 -> 30/11/2022,North West,84440,190515
01/11/2022 -> 30/11/2022,South East,69330,126845
01/11/2022 -> 30/11/2022,South West,43310,76290
01/11/2022 -> 30/11/2022,East Midlands,39625,63470
01/11/2022 -> 30/11/2022,East of England,54470,82560
01/11/2022 -> 30/11/2022,London,128440,221845
01/11/2022 -> 30/11/2022,North East,19360,32640
01/11/2022 -> 30/11/2022,North West,59500,103030
01/11/2022 -> 30/11/2022,South East,90065,132190
01/11/2022 -> 30/11/2022,South West,58965,82975
01/11/2022 -> 30/11/2022,East Midlands,6320,8520
01/11/2022 -> 30/11/2022,East of England,11810,15735
01/11/2022 -> 30/11/2022,London,32960,46905
01/11/2022 -> 30/11/2022,North East,2825,3895
01/11/2022 -> 30/11/2022,North West,9895,13685
01/11/2022 -> 30/11/2022,South East,23580,30655
01/11/2022 -> 30/11/2022,South West,10895,14465
01/11/2022 -> 30/11/2022,East Midlands,1580305,1925305
01/11/2022 -> 30/11/2022,East of England,2023770,2475935
01/11/2022 -> 30/11/2022,London,1525445,2312400
01/11/2022 -> 30/11/2022,North East,1014730,1259560
01/11/2022 -> 30/11/2022,North West,2521760,3292570
01/11/2022 -> 30/11/2022,South East,3042050,3656940
01/11/2022 -> 30/11/2022,South West,1980510,2336005
01/11/2022 -> 30/11/2022,East Midlands,55925,67900
01/11/2022 -> 30/11/2022,East of England,36815,44930
01/11/2022 -> 30/11/2022,London,210400,271395
01/11/2022 -> 30/11/2022,North East,3570,4740
01/11/2022 -> 30/11/2022,North West,20545,25150
01/11/2022 -> 30/11/2022,South East,59465,72620
01/11/2022 -> 30/11/2022,South West,9035,11130
01/11/2022 -> 30/11/2022,East Midlands,2315,2775
01/11/2022 -> 30/11/2022,East of England,25160,28665
01/11/2022 -> 30/11/2022,London,66385,87485
01/11/2022 -> 30/11/2022,North East,1325,2850
01/11/2022 -> 30/11/2022,North West,13885,18970
01/11/2022 -> 30/11/2022,South East,10775,12560
01/11/2022 -> 30/11/2022,South West,4060,4820
01/11/2022 -> 30/11/2022,East Midlands,41000,93850
01/11/2022 -> 30/11/2022,East of England,49455,105015
01/11/2022 -> 30/11/2022,London,273390,633675
01/11/2022 -> 30/11/2022,North East,14140,28835
01/11/2022 -> 30/11/2022,North West,93925,236475
01/11/2022 -> 30/11/2022,South East,69970,135190
01/11/2022 -> 30/11/2022,South West,16650,31465
01/11/2022 -> 30/11/2022,East Midlands,648310,917775
01/11/2022 -> 30/11/2022,East of England,869850,1199410
01/11/2022 -> 30/11/2022,London,705075,1026595
01/11/2022 -> 30/11/2022,North East,296150,436545
01/11/2022 -> 30/11/2022,North West,657995,983355
01/11/2022 -> 30/11/2022,South East,1301795,1740040
01/11/2022 -> 30/11/2022,South West,880425,1179840
01/11/2022 -> 30/11/2022,East Midlands,9890,13705
01/11/2022 -> 30/11/2022,East of England,13790,19060
01/11/2022 -> 30/11/2022,London,21885,30890
01/11/2022 -> 30/11/2022,North East,3675,5115
01/11/2022 -> 30/11/2022,North West,9225,13940
01/11/2022 -> 30/11/2022,South East,20515,29280
01/11/2022 -> 30/11/2022,South West,15845,23275
01/11/2022 -> 30/11/2022,East Midlands,149295,199740
01/11/2022 -> 30/11/2022,East of England,205710,270780
01/11/2022 -> 30/11/2022,London,201235,327175
01/11/2022 -> 30/11/2022,North East,72645,98825
01/11/2022 -> 30/11/2022,North West,184860,265315
01/11/2022 -> 30/11/2022,South East,312275,403920
01/11/2022 -> 30/11/2022,South West,215965,276990
01/11/2022 -> 30/11/2022,East Midlands,23420,32625
01/11/2022 -> 30/11/2022,East of England,10685,14640
01/11/2022 -> 30/11/2022,London,58600,85905
01/11/2022 -> 30/11/2022,North East,2950,4200
01/11/2022 -> 30/11/2022,North West,3915,6250
01/11/2022 -> 30/11/2022,South East,31960,43525
01/11/2022 -> 30/11/2022,South West,3225,4450
01/11/2022 -> 30/11/2022,East Midlands,788100,942965
01/11/2022 -> 30/11/2022,East of England,1088595,1308375
01/11/2022 -> 30/11/2022,London,8510,11305
01/11/2022 -> 30/11/2022,North East,290175,359735
01/11/2022 -> 30/11/2022,North West,476485,575190
01/11/2022 -> 30/11/2022,South East,1140140,1358030
01/11/2022 -> 30/11/2022,South West,1071750,1276865
01/11/2022 -> 30/11/2022,East Midlands,1728675,2319235
01/11/2022 -> 30/11/2022,East of England,2158445,2865800
01/11/2022 -> 30/11/2022,London,3086860,4811130
01/11/2022 -> 30/11/2022,North East,1121850,1484840
01/11/2022 -> 30/11/2022,North West,3039500,4280505
01/11/2022 -> 30/11/2022,South East,3732260,4766690
01/11/2022 -> 30/11/2022,South West,2064895,2605590
01/11/2022 -> 30/11/2022,East Midlands,1342410,1690175
01/11/2022 -> 30/11/2022,East of England,1730145,2169585
01/11/2022 -> 30/11/2022,London,1648470,2526210
01/11/2022 -> 30/11/2022,North East,761890,963795
01/11/2022 -> 30/11/2022,North West,1879385,2525900
01/11/2022 -> 30/11/2022,South East,2603115,3192565
01/11/2022 -> 30/11/2022,South West,1682935,2030355
01/11/2022 -> 30/11/2022,East Midlands,1174365,1572030
01/11/2022 -> 30/11/2022,East of England,1516890,2004555
01/11/2022 -> 30/11/2022,London,1446895,2296210
01/11/2022 -> 30/11/2022,North East,650125,880765
01/11/2022 -> 30/11/2022,North West,1636620,2329800
01/11/2022 -> 30/11/2022,South East,2269285,2932155
01/11/2022 -> 30/11/2022,South West,1453700,1852095
01/11/2022 -> 30/11/2022,East Midlands,15145,22170
01/11/2022 -> 30/11/2022,East of England,21660,31320
01/11/2022 -> 30/11/2022,London,52260,77555
01/11/2022 -> 30/11/2022,North East,6770,10755
01/11/2022 -> 30/11/2022,North West,21830,34900
01/11/2022 -> 30/11/2022,South East,37390,52400
01/11/2022 -> 30/11/2022,South West,24970,34020
01/11/2022 -> 30/11/2022,East Midlands,34275,45855
01/11/2022 -> 30/11/2022,East of England,48605,64210
01/11/2022 -> 30/11/2022,London,60405,99330
01/11/2022 -> 30/11/2022,North East,14850,19405
01/11/2022 -> 30/11/2022,North West,40685,59285
01/11/2022 -> 30/11/2022,South East,88395,114545
01/11/2022 -> 30/11/2022,South West,51635,65585
01/11/2022 -> 30/11/2022,East Midlands,1941825,2337810
01/11/2022 -> 30/11/2022,East of England,2455260,2941605
01/11/2022 -> 30/11/2022,London,1951260,2583750
01/11/2022 -> 30/11/2022,North East,1045635,1266270
01/11/2022 -> 30/11/2022,North West,2704120,3434940
01/11/2022 -> 30/11/2022,South East,3669170,4321165
01/11/2022 -> 30/11/2022,South West,2361275,2746615
01/11/2022 -> 30/11/2022,East Midlands,277085,439900
01/11/2022 -> 30/11/2022,East of England,370855,571865
01/11/2022 -> 30/11/2022,London,522775,978445
